employee_id,name,role,password
C1001,Ella,Part-time,a6889H
C1002,Aba,Full-time,l9161N
C1003,Ali,Full-time,c4836E
C1004,Ephraine,Part-time,t7730W
C1005,Elaine,Manager,r9190H
C1006,Mahdi,Full-time,t4595S
C1007,Alana,Part-time,a4263E
C1008,Ardyn,Part-time,u9023R
C1009,Oitijjo,Full-time,h3372M
C1010,Lisa,Full-time,y3927K
C1011,Yingli,Full-time,q7033K
C1012,Rizwan,Part-time,i6513K
C1013,Airis,Part-time,v3097S
C1014,Angela,Full-time,m1959M
C1015,Fikri,Manager,g3346N
C1016,Alison,Part-time,y3948A
C1017,Aiman,Full-time,m9303K
C1018,Omar,Part-time,w8355A
C1019,Ray,Full-time,l2967F
C1020,Anastasia,Part-time,x2783O
